ANIO,TIPO_UNIV,NIVEL_ACADEM,OF_ACADEM,DISCIP_OCDE,DISCIP_ESPECIF,TIPO_ALUMNO,VALOR
2014,Privado,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,124
2014,Privado,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,1475
2014,Privado,Grado,Otros,Ciencias Agrícolas,Veterinaria,EGRESADOS,119
2014,Privado,Grado,Otros,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,2134
2014,Privado,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,2
2014,Privado,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,26
2014,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,30
2014,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,92
2014,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,EGRESADOS,2
2014,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,53
2014,Privado,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,111
2014,Privado,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,1105
2014,Pública,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,1646
2014,Pública,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,29972
2014,Pública,Grado,Otros,Ciencias Agrícolas,Veterinaria,EGRESADOS,985
2014,Pública,Grado,Otros,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,21850
2014,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,51
2014,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,499
2014,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Veterinaria,EGRESADOS,38
2014,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,320
2014,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,56
2014,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,490
2014,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,EGRESADOS,95
2014,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,885
2014,Pública,Posgrado,Maestría,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,74
2014,Pública,Posgrado,Maestría,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,992
2014,Pública,Posgrado,Maestría,Ciencias Agrícolas,Veterinaria,EGRESADOS,28
2014,Pública,Posgrado,Maestría,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,288
2014,Pública,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,255
2014,Pública,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,4621
2014,Pública,Pregrado,Otros,Ciencias Agrícolas,Veterinaria,EGRESADOS,1
2014,Pública,Pregrado,Otros,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,7
2015,Privado,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,146
2015,Privado,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,1535
2015,Privado,Grado,Otros,Ciencias Agrícolas,Veterinaria,EGRESADOS,107
2015,Privado,Grado,Otros,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,2380
2015,Privado,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,1
2015,Privado,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,10
2015,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,16
2015,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,78
2015,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,EGRESADOS,2
2015,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,80
2015,Privado,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,188
2015,Privado,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,907
2015,Pública,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,1541
2015,Pública,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,28439
2015,Pública,Grado,Otros,Ciencias Agrícolas,Veterinaria,EGRESADOS,866
2015,Pública,Grado,Otros,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,21836
2015,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,59
2015,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,617
2015,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Veterinaria,EGRESADOS,39
2015,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,319
2015,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,44
2015,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,618
2015,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,EGRESADOS,183
2015,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,653
2015,Pública,Posgrado,Maestría,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,69
2015,Pública,Posgrado,Maestría,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,1009
2015,Pública,Posgrado,Maestría,Ciencias Agrícolas,Veterinaria,EGRESADOS,10
2015,Pública,Posgrado,Maestría,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,244
2015,Pública,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,235
2015,Pública,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,4377
2015,Pública,Pregrado,Otros,Ciencias Agrícolas,Veterinaria,EGRESADOS,45
2015,Pública,Pregrado,Otros,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,4
2016,Privado,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,124
2016,Privado,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,1375
2016,Privado,Grado,Otros,Ciencias Agrícolas,Veterinaria,EGRESADOS,135
2016,Privado,Grado,Otros,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,2322
2016,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,29
2016,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,81
2016,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,EGRESADOS,3
2016,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,61
2016,Privado,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,119
2016,Privado,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,528
2016,Pública,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,1636
2016,Pública,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,27251
2016,Pública,Grado,Otros,Ciencias Agrícolas,Veterinaria,EGRESADOS,906
2016,Pública,Grado,Otros,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,22460
2016,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,69
2016,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,736
2016,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Veterinaria,EGRESADOS,48
2016,Pública,Posgrado,Doctorado,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,395
2016,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,99
2016,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,540
2016,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,EGRESADOS,111
2016,Pública,Posgrado,Especialidad,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,724
2016,Pública,Posgrado,Maestría,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,132
2016,Pública,Posgrado,Maestría,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,1073
2016,Pública,Posgrado,Maestría,Ciencias Agrícolas,Veterinaria,EGRESADOS,24
2016,Pública,Posgrado,Maestría,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,252
2016,Pública,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,145
2016,Pública,Pregrado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,3499
2017,Privado,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,112
2017,Privado,Grado,Otros,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,1024
2017,Privado,Grado,Otros,Ciencias Agrícolas,Veterinaria,EGRESADOS,133
2017,Privado,Grado,Otros,Ciencias Agrícolas,Veterinaria,ESTUDIANTES,2303
2017,Privado,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,3
2017,Privado,Posgrado,Doctorado,Ciencias Agrícolas,Ciencias Agropecuarias,ESTUDIANTES,14
2017,Privado,Posgrado,Especialidad,Ciencias Agrícolas,Ciencias Agropecuarias,EGRESADOS,25
